GameKey,PlayerID,SeasonType,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerGameID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLong,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,PlayingSurface,IsGameOver,SafetiesAllowed,Stadium,Temperature,Humidity,WindSpeed,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,YahooSalary,FantasyPointsYahoo,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,FantasyDraftSalary,FantasyDraftPosition,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID,FantasyPointsFantasyDraft,OffensiveFumbleRecoveryTouchdowns,SnapCountsConfirmed,ScoringDetails
201910122,18857,1,2019,2019-09-09T19:10:00,1,HOU,NO,AWAY,4,Deshaun Watson,QB,OFF,1,1,1,27.0,17.3,203.2,47.8,4.1,6.2,1.0,0.4,69.2,0.0,0.0,0.0,3.3,23.1,2.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990287388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deshaun Watson,Artificial,True,0.0,,,,,6256,5005,5005,,,,,,,,0.0,15.7,0.0,0.0,0.0,0.0,0.0,15.9,26,15.7,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,13,23,Scrambled,Scrambled,False,8758,QB,13,22,2019-09-09T00:00:00,2019-09-09T19:10:00,16997,13,22,16997,15.9,,,[]
201910115,18890,1,2019,2019-09-08T13:00:00,1,KC,JAX,AWAY,15,Patrick Mahomes,QB,OFF,1,1,1,26.7,17.1,211.0,47.0,4.3,6.8,1.1,0.4,70.3,0.0,0.0,0.0,1.9,11.8,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990285778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrick Mahomes,Grass,True,0.0,,,,,6403,5299,5299,,,,,,,,0.0,15.5,0.0,0.0,0.0,0.0,0.0,15.6,29,15.5,Scrambled,Scrambled,2019-09-08T00:00:00,Scrambled,Scrambled,Scrambled,Scrambled,2,5,Scrambled,Scrambled,False,10010,QB,16,15,2019-09-08T00:00:00,2019-09-08T13:00:00,16990,16,15,16990,15.6,,,[]
201910122,7242,1,2019,2019-09-09T19:10:00,1,NO,HOU,HOME,9,Drew Brees,QB,OFF,1,1,1,27.7,18.4,213.1,48.4,4.1,6.3,1.2,0.3,78.2,0.0,0.0,0.0,0.5,0.7,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990287324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drew Brees,Artificial,True,0.0,,,,,5888,4710,4710,,,,,,,,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.1,26,15.0,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,5,10,Scrambled,Scrambled,False,9274,QB,22,13,2019-09-09T00:00:00,2019-09-09T19:10:00,16997,22,13,16997,15.1,,,[]
201910126,17920,1,2019,2019-09-08T13:00:00,1,PHI,WAS,HOME,11,Carson Wentz,QB,OFF,1,1,1,26.2,17.3,201.6,49.1,4.1,6.2,1.1,0.3,70.9,0.0,0.0,0.0,1.5,6.3,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990286341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carson Wentz,Grass,True,0.0,,,,,5594,4195,4195,,,,,,,,0.0,14.7,0.0,0.0,0.0,0.0,0.0,14.7,24,14.7,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,10,14,Scrambled,Scrambled,False,8758,QB,26,35,2019-09-08T00:00:00,2019-09-08T13:00:00,16988,26,35,16988,14.7,,,[]
201910133,16762,1,2019,2019-09-08T16:25:00,1,TB,SF,HOME,3,Jameis Winston,QB,OFF,1,1,1,26.7,17.4,211.5,49.1,4.3,6.5,1.0,0.5,72.0,0.0,0.0,0.0,1.7,12.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990287059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jameis Winston,Grass,True,0.0,,,,,5520,4858,4858,,,,,,,,0.0,14.8,0.0,0.0,0.0,0.0,0.0,14.9,23,14.8,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,18,19,Scrambled,Scrambled,False,8170,QB,33,31,2019-09-08T00:00:00,2019-09-08T16:25:00,16995,33,31,16995,14.9,,,[]
201910109,18055,1,2019,2019-09-08T16:25:00,1,DAL,NYG,HOME,4,Dak Prescott,QB,OFF,1,1,1,25.2,16.7,185.5,49.8,4.0,6.0,0.9,0.3,71.2,0.0,0.0,0.0,1.8,11.8,2.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990286930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dak Prescott,Artificial,True,0.0,,,,,5520,4342,4342,,,,,,,,0.0,14.3,0.0,0.0,0.0,0.0,0.0,14.4,19,14.3,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,18,13,Scrambled,Scrambled,False,7875,QB,9,23,2019-09-08T00:00:00,2019-09-08T16:25:00,16993,9,23,16993,14.4,,,[]
201910130,14536,1,2019,2019-09-08T16:05:00,1,SEA,CIN,HOME,3,Russell Wilson,QB,OFF,1,1,1,22.5,14.7,175.9,47.5,4.2,6.5,1.0,0.3,70.7,0.0,0.0,0.0,2.3,17.4,3.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990286602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Russell Wilson,Artificial,True,0.0,,,,,6035,4637,4637,,,,,,,,0.0,14.2,0.0,0.0,0.0,0.0,0.0,14.3,24,14.2,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,24,21,Scrambled,Scrambled,False,9789,QB,30,7,2019-09-08T00:00:00,2019-09-08T16:05:00,16992,30,7,16992,14.3,,,[]
201910105,13320,1,2019,2019-09-08T13:00:00,1,CAR,LAR,HOME,1,Cam Newton,QB,OFF,1,1,1,25.8,15.2,173.1,44.2,3.6,6.1,0.9,0.5,64.2,0.0,0.0,0.0,3.7,23.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990285441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cam Newton,Grass,True,0.0,,,,,5814,4784,4784,,,,,,,,0.0,14.3,0.0,0.0,0.0,0.0,0.0,14.4,24,14.3,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,14,7,Scrambled,Scrambled,False,9347,QB,5,32,2019-09-08T00:00:00,2019-09-08T13:00:00,16989,5,32,16989,14.4,,,[]
201910119,19781,1,2019,2019-09-08T13:00:00,1,BAL,MIA,AWAY,8,Lamar Jackson,QB,OFF,1,1,1,19.9,11.7,144.5,43.6,4.0,6.6,0.7,0.4,57.9,0.0,0.0,0.0,5.8,38.1,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990285942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lamar Jackson,Grass,True,0.0,,,,,5446,4416,4416,,,,,,,,0.0,14.1,0.0,0.0,0.0,0.0,0.0,14.2,19,14.1,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,19,17,Scrambled,Scrambled,False,8022,QB,3,19,2019-09-08T00:00:00,2019-09-08T13:00:00,16985,3,19,16985,14.2,,,[]
201910121,4314,1,2019,2019-09-08T20:20:00,1,NE,PIT,HOME,12,Tom Brady,QB,OFF,1,1,1,27.5,17.4,203.9,47.8,4.1,6.2,1.0,0.3,69.3,0.0,0.0,0.0,0.6,1.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990287176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Brady,Artificial,True,0.0,,,,,5373,4416,4416,,,,,,,,0.0,13.7,0.0,0.0,0.0,0.0,0.0,13.8,24,13.7,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,7,12,Scrambled,Scrambled,False,9494,QB,21,28,2019-09-08T00:00:00,2019-09-08T20:20:00,16996,21,28,16996,13.8,,,[]
